"filename", "language", "JSON", "JavaScript", "JavaScript React", "comment", "blank", "total"
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/item-components/update-item.component.jsx", "JavaScript React", 0, 0, 47, 0, 4, 51
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/list-components/create-list.component.jsx", "JavaScript React", 0, 0, 39, 0, 6, 45
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/list-components/lists-styles.js", "JavaScript", 0, 31, 0, 0, 7, 38
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/list-components/my-list-detail.component.jsx", "JavaScript React", 0, 0, 28, 0, 5, 33
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/list-components/my-lists.component.jsx", "JavaScript React", 0, 0, 98, 2, 12, 112
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/list-components/update-list.component.jsx", "JavaScript React", 0, 0, 50, 0, 6, 56
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/styles.js", "JavaScript", 0, 22, 0, 0, 5, 27
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/cluster-screens/create-cluster.screen.jsx", "JavaScript React", 0, 0, 46, 0, 12, 58
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/collection-screens/create-collection.screen.jsx", "JavaScript React", 0, 0, 47, 0, 12, 59
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/collection-screens/my-collection-detail.screen.jsx", "JavaScript React", 0, 0, 113, 1, 21, 135
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/collection-screens/update-collection.screen.jsx", "JavaScript React", 0, 0, 47, 0, 14, 61
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/item-screens/create-item.screen.jsx", "JavaScript React", 0, 0, 51, 0, 13, 64
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/item-screens/my-item-detail.screen.jsx", "JavaScript React", 0, 0, 11, 0, 6, 17
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/item-screens/update-item.screen.jsx", "JavaScript React", 0, 0, 52, 0, 12, 64
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/list-screens/create-list.screen.jsx", "JavaScript React", 0, 0, 47, 0, 13, 60
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/list-screens/my-list-detail.screen.jsx", "JavaScript React", 0, 0, 112, 1, 17, 130
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/list-screens/update-list.screen.jsx", "JavaScript React", 0, 0, 52, 0, 12, 64
"/home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/user-main.screen.jsx", "JavaScript React", 0, 0, 97, 1, 15, 113
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/auth.navigator.jsx", "JavaScript React", 0, 0, 23, 0, 5, 28
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/cluster.navigator.jsx", "JavaScript React", 0, 0, 28, 0, 3, 31
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/collection.navigator.jsx", "JavaScript React", 0, 0, 33, 0, 4, 37
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/home.navigator.jsx", "JavaScript React", 0, 0, 35, 0, 8, 43
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/index.jsx", "JavaScript React", 0, 0, 22, 0, 5, 27
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/item.navigator.jsx", "JavaScript React", 0, 0, 24, 0, 5, 29
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/list.navigator.jsx", "JavaScript React", 0, 0, 31, 0, 3, 34
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/theme/colors.js", "JavaScript", 0, 50, 0, 0, 2, 52
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/theme/fonts.js", "JavaScript", 0, 21, 0, 0, 2, 23
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/theme/index.js", "JavaScript", 0, 14, 0, 0, 1, 15
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/theme/sizes.js", "JavaScript", 0, 1, 0, 0, 0, 1
"/home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/theme/spacing.js", "JavaScript", 0, 5, 0, 0, 1, 6
"/home/leno/Desktop/me/storeNShare-mobile/src/services/auth/login.service.js", "JavaScript", 0, 26, 0, 3, 9, 38
"/home/leno/Desktop/me/storeNShare-mobile/src/services/auth/logout.service.js", "JavaScript", 0, 19, 0, 0, 7, 26
"/home/leno/Desktop/me/storeNShare-mobile/src/services/auth/register.service.js", "JavaScript", 0, 11, 0, 0, 5, 16
"/home/leno/Desktop/me/storeNShare-mobile/src/services/cluster/cluster.service.js", "JavaScript", 0, 16, 0, 0, 5, 21
"/home/leno/Desktop/me/storeNShare-mobile/src/services/collection/collectoin.service.js", "JavaScript", 0, 28, 0, 0, 7, 35
"/home/leno/Desktop/me/storeNShare-mobile/src/services/item/item.service.js", "JavaScript", 0, 22, 0, 0, 6, 28
"/home/leno/Desktop/me/storeNShare-mobile/src/services/list/list.service.js", "JavaScript", 0, 28, 0, 0, 7, 35
"/home/leno/Desktop/me/storeNShare-mobile/src/utils/request-handler.js", "JavaScript", 0, 11, 0, 3, 0, 14
"/home/leno/Desktop/me/storeNShare-mobile/src/utils/try-to-catch.js", "JavaScript", 0, 7, 0, 0, 0, 7
"Total", "-", 17823, 729, 2194, 28, 553, 21327
